date,year,strPeriod,msa,ratio
1997-12-01,1997,199712,Atlanta,-0.6937839723102828
1998-01-01,1998,199801,Atlanta,-0.6928436719829456
1998-02-01,1998,199802,Atlanta,-0.6932802769492401
1998-03-01,1998,199803,Atlanta,-0.6896024518432844
1998-04-01,1998,199804,Atlanta,-0.6907132265122575
1998-05-01,1998,199805,Atlanta,-0.6870238052871462
1998-06-01,1998,199806,Atlanta,-0.6891058201017568
1998-07-01,1998,199807,Atlanta,-0.6859809332870821
1998-08-01,1998,199808,Atlanta,-0.6857998989207825
1998-09-01,1998,199809,Atlanta,-0.6849965996833296
1998-10-01,1998,199810,Atlanta,-0.6792887953195299
1998-11-01,1998,199811,Atlanta,-0.677304619633027
1998-12-01,1998,199812,Atlanta,-0.6700032514700469
1999-01-01,1999,199901,Atlanta,-0.6667240420162424
1999-02-01,1999,199902,Atlanta,-0.6621194155751491
1999-03-01,1999,199903,Atlanta,-0.6575049570433915
1999-04-01,1999,199904,Atlanta,-0.6579935957866665
1999-05-01,1999,199905,Atlanta,-0.6565929466489964
1999-06-01,1999,199906,Atlanta,-0.6511065549059145
1999-07-01,1999,199907,Atlanta,-0.6454477329968835
1999-08-01,1999,199908,Atlanta,-0.6460580031503014
1999-09-01,1999,199909,Atlanta,-0.6461672262271101
1999-10-01,1999,199910,Atlanta,-0.6405574025474898
1999-11-01,1999,199911,Atlanta,-0.6383326711873574
1999-12-01,1999,199912,Atlanta,-0.630412530233901
2000-01-01,2000,200001,Atlanta,-0.6285601090661688
2000-02-01,2000,200002,Atlanta,-0.6227033075892203
2000-03-01,2000,200003,Atlanta,-0.6210178758666602
2000-04-01,2000,200004,Atlanta,-0.6120184386663325
2000-05-01,2000,200005,Atlanta,-0.6091768220997693
2000-06-01,2000,200006,Atlanta,-0.6013178316271937
2000-07-01,2000,200007,Atlanta,-0.6016945560806946
2000-08-01,2000,200008,Atlanta,-0.6022144741840281
2000-09-01,2000,200009,Atlanta,-0.6056449348072563
2000-10-01,2000,200010,Atlanta,-0.6052334186060184
2000-11-01,2000,200011,Atlanta,-0.6019978094425484
2000-12-01,2000,200012,Atlanta,-0.6087495522680486
2001-01-01,2001,200101,Atlanta,-0.609189259826989
2001-02-01,2001,200102,Atlanta,-0.6088879491336465
2001-03-01,2001,200103,Atlanta,-0.6088313671570775
2001-04-01,2001,200104,Atlanta,-0.6083953940014126
2001-05-01,2001,200105,Atlanta,-0.6136990297165301
2001-06-01,2001,200106,Atlanta,-0.6086558970234073
2001-07-01,2001,200107,Atlanta,-0.6073163341825154
2001-08-01,2001,200108,Atlanta,-0.6085201017393116
2001-09-01,2001,200109,Atlanta,-0.6091213014145369
2001-10-01,2001,200110,Atlanta,-0.6100589003267309
2001-11-01,2001,200111,Atlanta,-0.6109173541182242
2001-12-01,2001,200112,Atlanta,-0.6166390284587591
2002-01-01,2002,200201,Atlanta,-0.6157251638183219
2002-02-01,2002,200202,Atlanta,-0.6136658127884029
2002-03-01,2002,200203,Atlanta,-0.6128390586997314
2002-04-01,2002,200204,Atlanta,-0.6140595790285355
2002-05-01,2002,200205,Atlanta,-0.614037131075527
2002-06-01,2002,200206,Atlanta,-0.6150981115924905
2002-07-01,2002,200207,Atlanta,-0.6042605602391511
2002-08-01,2002,200208,Atlanta,-0.5972856875892285
